lat,lng,pop
42.506285,1.521801,57
33.93911,67.709953,33
41.153332,20.168331,30
40.069099,45.038189,15
-11.202691999999999,17.873887,31
-38.416097,-63.616671999999994,15669
47.516231,14.550072,2311
-25.274398,133.775136,4033
40.143105,47.576927000000005,57
13.193887,-59.543198,147
23.684994,90.35633100000001,597
50.503887,4.469936,1445
12.238333,-1.561593,111
42.733883,25.48583,66
26.0667,50.5577,314
-3.3730559999999996,29.918885999999997,22
9.30769,2.315834,84
4.535277,114.72766899999999,22
-16.290154,-63.588653,147
-14.235004,-51.92528,32173
25.03428,-77.39628,154
27.514162,90.433601,32
-22.328474,24.684866,250
53.709807,27.953389,20
17.189877,-88.49765,4
56.130366,-106.34677099999999,20530
-0.228021,15.827658999999999,40
46.818188,8.227511999999999,1124
-35.675146999999996,-71.542969,7019
7.369722,12.354722,278
35.86166,104.195397,655
4.570868,-74.297333,6934
9.748917,-83.753428,527
21.521757,-77.78116700000001,326
15.120142000000001,-23.605172,15
35.126413,33.429859,240
49.817492,15.472961999999999,203
51.165690999999995,10.451526,5333
11.825138,42.590275,36
56.26392,9.501785,327
15.414999,-61.370976,3
28.033886,1.6596259999999998,164
-1.8312389999999998,-78.183406,3955
58.595271999999994,25.013607,30
26.820553000000004,30.802497999999996,443
15.179383999999999,39.782334000000006,2
40.463667,-3.7492199999999998,12097
9.145,40.489672999999996,123
61.92411,25.748151,428
-17.713371,178.065032,495
46.227638,2.213749,12748
32.165622,-82.900075,45
55.378051,-3.435973,22659
12.1165,-61.679,12
7.946527000000001,-1.0231940000000002,630
13.443182,-15.310139000000001,44
9.945587,-9.696645,43
39.074208,21.824312,468
15.783470999999999,-90.23075899999999,861
11.803749,-15.180413,2
4.860416000000001,-58.93018000000001,17
15.199998999999998,-86.241905,399
45.1,15.2,93
18.971187,-72.28521500000001,40
47.162494,19.503304,72
-0.789275,113.921327,9820
53.41291,-8.243889999999999,3274
31.046051000000002,34.851612,280
20.593684,78.96288,67467
33.223191,43.679291,132
32.427908,53.68804599999999,218
64.96305100000001,-19.020835,23
41.87194,12.56738,5169
18.109581,-77.297508,741
30.585164000000002,36.238414,89
36.204824,138.252924,2418
-0.023559,37.906193,2746
41.20438,74.766098,17
12.565679,104.990963,121
1.8709189999999998,-157.362601,2
-11.6455,43.3333,6
40.339852,127.510093,1
35.907757000000004,127.766922,165
29.311659999999996,47.481766,373
48.019573,66.923684,49
19.856270000000002,102.495496,26
33.854721000000005,35.862285,162
13.909444,-60.97889300000001,24
47.166,9.555373,12
7.873054,80.77179699999999,563
6.4280550000000005,-9.429499,15
-29.609988,28.233608,40
55.169438,23.881275,63
49.815273,6.129583,72
56.879635,24.603189,157
26.3351,17.228331,18
31.791702,-7.09262,237
43.738417999999996,7.424616,26
47.411631,28.369884999999996,7
42.708678000000006,19.37439,53
-18.766947000000002,46.869107,40
7.131474000000001,171.184478,5
17.570692,-3.9961660000000006,47
46.862496,103.84665600000001,181
21.00789,-10.940835,10
35.937496,14.375416,51
-20.348404000000002,57.552152,79
1.9772470000000002,73.536103,324
-13.254307999999998,34.301525,163
23.634501,-102.552784,9412
4.210483999999999,101.97576600000001,5463
-18.665695,35.529562,80
17.607789,8.081666,16
9.081999,8.675277000000001,2068
12.865416,-85.207229,376
52.132633,5.291266,3446
60.472024,8.468946,210
28.394857000000002,84.12400799999999,392
-40.900557,174.88597099999998,753
21.512583,55.923255000000005,152
8.537981,-80.782127,1086
-9.189967,-75.015152,2110
-6.314993,143.95555,94
12.879721,121.77401699999999,7281
30.375321000000003,69.345116,6382
51.919438,19.145135999999997,1037
39.399871999999995,-8.224454,636
7.51498,134.58252,1
-23.442503,-58.44383199999999,3004
25.354826,51.183884,334
45.943160999999996,24.96676,80
44.016521000000004,21.005859,274
61.52401,105.31875600000001,370
-1.940278,29.873888,196
23.885942,45.079162,2289
-9.645710000000001,160.156194,12
-4.679574,55.491977,5
12.862807,30.217636,2
60.128161,18.643501,648
1.352083,103.819836,506
46.151241,14.995463,83
48.669026,19.699023999999998,22
8.460555000000001,-11.779889,16
14.497401000000002,-14.452361999999999,133
5.152149,46.199616,191
3.9193050000000005,-56.02778299999999,3
13.794185,-88.89653,659
34.802075,38.996815000000005,14
-26.522503000000004,31.465866,23
15.454166,18.732207,6
8.619543,0.824782,31
15.870032,100.992541,3925
38.861034000000004,71.276093,6
-8.874217,125.727539,80
33.886917,9.537499,211
-21.178986,-175.198242,1
38.963745,35.243322,6230
23.69781,120.96051499999999,163
-6.369028,34.888822,249
48.379433,31.16558,328
1.373333,32.290275,698
39.500240000000005,-98.350891,75522
-32.522779,-55.765834999999996,3836
41.377491,64.585262,19
41.902916,12.453389,4
6.42375,-66.58973,9688
14.058323999999999,108.277199,257
-15.376706,166.959158,3
-13.759029,-172.10462900000002,3
42.581371999999995,20.889336,85
15.552726999999999,48.516388,565
-30.559482,22.937506,3294
-13.133897,27.849332,176
-19.015438,29.154857,303
